id,label,blue_border_count,red_count,border_brightness,brightness,output
cat/0071.jpg,cat,11,0,90.540625,100.423828125,cat
cat/0717.jpg,cat,0,0,136.034375,124.369140625,cat
cat/0703.jpg,cat,32,0,86.29375,83.9931640625,deer
cat/0065.jpg,cat,0,0,178.790625,149.8662109375,cat
cat/0059.jpg,cat,0,0,59.753125,76.25,frog
cat/0918.jpg,cat,0,0,87.215625,84.876953125,cat
cat/0930.jpg,cat,13,0,86.384375,71.65625,cat
cat/0924.jpg,cat,67,0,133.09375,119.46484375,cat
cat/0515.jpg,cat,10,2,105.978125,92.1611328125,cat
cat/0273.jpg,cat,2,0,155.553125,122.37109375,cat
cat/0267.jpg,cat,34,0,130.578125,118.171875,bird
cat/0501.jpg,cat,66,0,123.0,104.3017578125,cat
cat/0529.jpg,cat,261,0,122.165625,120.9130859375,cat
cat/0298.jpg,cat,62,0,100.621875,98.14453125,cat
cat/0461.jpg,cat,472,0,146.6375,153.6220703125,bird
cat/0307.jpg,cat,68,0,66.196875,106.947265625,cat
cat/0313.jpg,cat,0,0,244.521875,198.064453125,cat
cat/0475.jpg,cat,102,0,77.19375,96.5224609375,cat
cat/0449.jpg,cat,419,0,86.00625,103.1025390625,dog
cat/0105.jpg,cat,29,0,159.659375,118.5595703125,cat
cat/0663.jpg,cat,67,0,36.4625,54.5439453125,cat
cat/0677.jpg,cat,328,0,160.975,149.0068359375,truck
cat/0111.jpg,cat,6,0,163.575,145.6103515625,bird
cat/0139.jpg,cat,20,0,241.2875,191.1826171875,dog
cat/0887.jpg,cat,51,0,114.209375,143.015625,frog
cat/0893.jpg,cat,0,0,197.5375,163.798828125,cat
cat/0878.jpg,cat,16,0,51.94375,58.439453125,frog
cat/0844.jpg,cat,20,0,69.153125,95.1923828125,cat
cat/0688.jpg,cat,276,0,71.1875,83.3369140625,cat
cat/0850.jpg,cat,67,0,196.640625,203.0751953125,frog
cat/0851.jpg,cat,19,0,155.5375,137.060546875,cat
cat/0689.jpg,cat,83,0,143.159375,121.931640625,cat
cat/0845.jpg,cat,32,0,125.240625,111.0439453125,cat
cat/0879.jpg,cat,0,0,136.06875,145.365234375,deer
cat/0892.jpg,cat,0,15,160.684375,132.8720703125,cat
cat/0138.jpg,cat,361,0,123.1625,126.62890625,deer
cat/0886.jpg,cat,64,0,133.4375,123.15625,deer
cat/0676.jpg,cat,13,0,106.240625,114.0576171875,dog
cat/0110.jpg,cat,24,0,213.603125,153.701171875,dog
cat/0104.jpg,cat,0,0,140.528125,129.431640625,frog
cat/0662.jpg,cat,57,0,84.546875,80.373046875,cat
cat/0448.jpg,cat,71,0,108.428125,99.1083984375,cat
cat/0312.jpg,cat,148,0,171.2625,155.2578125,cat
cat/0474.jpg,cat,99,0,139.80625,122.623046875,cat
cat/0460.jpg,cat,371,0,149.128125,176.6591796875,cat
cat/0306.jpg,cat,0,0,54.84375,55.7109375,frog
cat/0299.jpg,cat,0,0,177.896875,166.4365234375,cat
cat/0528.jpg,cat,273,0,159.878125,151.88671875,automobile
cat/0266.jpg,cat,0,0,158.803125,132.2490234375,cat
cat/0500.jpg,cat,196,0,83.73125,90.498046875,dog
